variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
alk,Alkalinity,precip_flux,kg/ha/d,188190,14,1969-02-04T00:00:00Z,2019-10-01T00:00:00Z
alk,Alkalinity,stream_conc,mg/L,349545,81,1968-10-09T00:00:00Z,2022-02-07T00:00:00Z
alk,Alkalinity,stream_flux,kg/ha/d,275258,55,1968-10-09T00:00:00Z,2022-02-07T00:00:00Z
ANC,Acid Neutralizing Capacity,precip_conc,eq/L,19542,12,1987-10-27T00:00:00Z,2020-12-31T00:00:00Z
ANC,Acid Neutralizing Capacity,stream_conc,eq/L,247545,50,1982-02-11T00:00:00Z,2022-02-07T00:00:00Z
ANC960,Acid Neutralizing Capacity 960,precip_conc,ueq/L,396,9,2013-04-15T00:00:00Z,2013-05-28T00:00:00Z
ANC960,Acid Neutralizing Capacity 960,stream_conc,ueq/L,88429,11,1990-01-14T00:00:00Z,2017-09-18T00:00:00Z
AnCaR,Anion-Cation Ratio,NA,unitless,255143,10,1978-10-12T00:00:00Z,2019-05-22T00:00:00Z
ANCMet,Acid Neutralizing Capacity Met,stream_conc,ueq/L,25050,11,2015-02-16T00:00:00Z,2021-05-24T00:00:00Z
anionCharge,TOTAL Anion Charge,precip_conc,ueq/L,170478,9,1969-07-01T00:00:00Z,2021-05-10T00:00:00Z
anionCharge,TOTAL Anion Charge,stream_conc,ueq/L,168371,40,1973-06-30T00:00:00Z,2021-05-24T00:00:00Z
As,Arsenic,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
As,Arsenic,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
As,Arsenic,stream_conc,mg/L,96534,34,1994-01-24T00:00:00Z,2020-12-02T00:00:00Z
As,Arsenic,stream_flux,kg/ha/d,41094,18,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Au,Gold,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Au,Gold,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Au,Gold,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Au,Gold,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
B,Boron,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
B,Boron,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
B,Boron,stream_conc,mg/L,148005,46,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
B,Boron,stream_flux,kg/ha/d,67711,22,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Ba,Barium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Ba,Barium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Ba,Barium,stream_conc,mg/L,145164,44,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Ba,Barium,stream_flux,kg/ha/d,61121,24,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Be,Beryllium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Be,Beryllium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Be,Beryllium,stream_conc,mg/L,127459,37,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Be,Beryllium,stream_flux,kg/ha/d,45661,19,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Bi,Bismuth,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Bi,Bismuth,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Bi,Bismuth,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Bi,Bismuth,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
BPC,Benthic Particulate Carbon,NA,mg/cm2,159972,33,1991-07-17T00:00:00Z,2018-08-31T00:00:00Z
BPN,Benthic Particulate Nitrogen,NA,mg/cm2,162058,33,1991-07-17T00:00:00Z,2018-08-31T00:00:00Z
BPP,Benthic Particulate Phosphorus,NA,mg/cm2,146818,33,1994-06-20T00:00:00Z,2018-08-31T00:00:00Z
Br,Bromide,precip_conc,mg/L,150089,30,1998-04-26T00:00:00Z,2019-09-20T00:00:00Z
Br,Bromide,precip_flux,kg/ha/d,156763,37,1998-04-26T00:00:00Z,2022-01-05T00:00:00Z
Br,Bromide,stream_conc,mg/L,501628,116,1992-10-22T00:00:00Z,2021-05-25T00:00:00Z
Br,Bromide,stream_flux,kg/ha/d,256783,74,1994-12-09T00:00:00Z,2021-05-25T00:00:00Z
Ca,Calcium,precip_conc,mg/L,590164,82,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
Ca,Calcium,precip_flux,kg/ha/d,575798,84,1968-10-21T00:00:00Z,2022-01-05T00:00:00Z
Ca,Calcium,stream_conc,mg/L,1568181,267,1963-06-01T00:00:00Z,2021-05-26T00:00:00Z
Ca,Calcium,stream_flux,kg/ha/d,991789,149,1963-06-01T00:00:00Z,2021-05-26T00:00:00Z
cationCharge,TOTAL Cation Charge,precip_conc,ueq/L,168768,9,1970-01-07T00:00:00Z,2021-05-10T00:00:00Z
cationCharge,TOTAL Cation Charge,stream_conc,ueq/L,165892,40,1973-06-30T00:00:00Z,2021-05-24T00:00:00Z
Cd,Cadmium,precip_conc,mg/L,10647,26,2011-08-04T00:00:00Z,2018-06-13T00:00:00Z
Cd,Cadmium,precip_flux,kg/ha/d,10647,26,2011-08-04T00:00:00Z,2018-06-13T00:00:00Z
Cd,Cadmium,stream_conc,mg/L,180882,51,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Cd,Cadmium,stream_flux,kg/ha/d,75295,24,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Ce,Cerium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Ce,Cerium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Ce,Cerium,stream_conc,mg/L,114749,25,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Ce,Cerium,stream_flux,kg/ha/d,50229,21,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
CH4,Methane,NA,ppm,1253,3,2008-05-26T00:00:00Z,2010-08-12T00:00:00Z
CH4_C,Methane-C,stream_conc,mg/L,24008,13,2015-06-30T00:00:00Z,2020-12-02T00:00:00Z
CHL,Chlorophyll,stream_conc,mg/L,101118,48,2004-06-21T00:00:00Z,2017-08-26T00:00:00Z
Cl,Chloride,precip_conc,mg/L,538771,82,1969-12-16T00:00:00Z,2021-05-10T00:00:00Z
Cl,Chloride,precip_flux,kg/ha/d,540049,84,1969-12-16T00:00:00Z,2022-01-05T00:00:00Z
Cl,Chloride,stream_conc,mg/L,1586911,291,1964-03-16T00:00:00Z,2021-05-25T00:00:00Z
Cl,Chloride,stream_flux,kg/ha/d,972202,157,1964-03-16T00:00:00Z,2021-05-25T00:00:00Z
Co,Cobalt,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Co,Cobalt,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Co,Cobalt,stream_conc,mg/L,151025,40,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Co,Cobalt,stream_flux,kg/ha/d,61034,22,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
CO2,Carbon Dioxide,NA,ppm,2448,6,2008-05-26T00:00:00Z,2010-08-12T00:00:00Z
CO2_C,Carbon Dioxide-C,stream_conc,mg/L,23694,13,2015-06-30T00:00:00Z,2020-10-20T00:00:00Z
CO3,Carbonate,stream_conc,mg/L,50668,27,2014-10-21T00:00:00Z,2021-11-03T00:00:00Z
CO3,Carbonate,stream_flux,kg/ha/d,36800,26,2016-10-04T00:00:00Z,2021-11-03T00:00:00Z
Cr,Chromium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Cr,Chromium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Cr,Chromium,stream_conc,mg/L,164288,49,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Cr,Chromium,stream_flux,kg/ha/d,61034,22,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Cs,Caesium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Cs,Caesium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Cs,Caesium,stream_conc,mg/L,45181,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Cs,Caesium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Cu,Copper,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Cu,Copper,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Cu,Copper,stream_conc,mg/L,183805,51,1992-01-06T00:00:00Z,2020-12-02T00:00:00Z
Cu,Copper,stream_flux,kg/ha/d,74782,24,1992-01-06T00:00:00Z,2020-12-02T00:00:00Z
d18O,Delta 18 Oxygen,NA,ppt,113246,40,1998-06-11T00:00:00Z,2020-02-19T00:00:00Z
deuterium,Deuterium,NA,unitless,23617,15,2014-06-27T00:00:00Z,2020-02-19T00:00:00Z
DIC,Dissolved Inorganic Carbon,precip_conc,mg/L,127980,10,1983-12-12T00:00:00Z,2018-12-25T00:00:00Z
DIC,Dissolved Inorganic Carbon,precip_flux,kg/ha/d,127980,10,1983-12-12T00:00:00Z,2018-12-25T00:00:00Z
DIC,Dissolved Inorganic Carbon,stream_conc,mg/L,345042,93,1983-06-03T00:00:00Z,2021-10-27T00:00:00Z
DIC,Dissolved Inorganic Carbon,stream_flux,kg/ha/d,192984,61,1983-06-03T00:00:00Z,2021-10-27T00:00:00Z
DIN,Dissolved Inorganic Nitrogen,stream_conc,mg/L,1796,4,2008-04-02T00:00:00Z,2009-06-24T00:00:00Z
DIN,Dissolved Inorganic Nitrogen,stream_flux,kg/ha/d,1796,4,2008-04-02T00:00:00Z,2009-06-24T00:00:00Z
discharge,Discharge,NA,L/s,1718735,199,1945-07-01T00:00:00Z,2022-04-16T00:00:00Z
DO,Dissolved Oxygen,stream_conc,mg/L,91818,29,2001-06-21T00:00:00Z,2022-04-16T00:00:00Z
DO_sat,Dissolved Oxygen Percent Saturation,NA,%,30024,15,2001-06-21T00:00:00Z,2018-11-05T00:00:00Z
DOC,Dissolved Organic Carbon,precip_conc,mg/L,296955,33,1983-11-28T00:00:00Z,2021-05-10T00:00:00Z
DOC,Dissolved Organic Carbon,precip_flux,kg/ha/d,296955,33,1983-11-28T00:00:00Z,2021-05-10T00:00:00Z
DOC,Dissolved Organic Carbon,stream_conc,mg/L,1192068,245,1978-05-20T00:00:00Z,2021-10-27T00:00:00Z
DOC,Dissolved Organic Carbon,stream_flux,kg/ha/d,563920,120,1983-06-27T00:00:00Z,2021-10-27T00:00:00Z
DON,Dissolved Organic Nitrogen,precip_conc,mg/L,279254,23,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
DON,Dissolved Organic Nitrogen,precip_flux,kg/ha/d,262238,19,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
DON,Dissolved Organic Nitrogen,stream_conc,mg/L,386163,71,1968-10-09T00:00:00Z,2021-05-24T00:00:00Z
DON,Dissolved Organic Nitrogen,stream_flux,kg/ha/d,254145,40,1968-10-09T00:00:00Z,2020-06-02T00:00:00Z
DOP,Dissolved Organic Phosphorus,precip_conc,mg/L,228,4,2011-06-20T00:00:00Z,2011-08-15T00:00:00Z
DOP,Dissolved Organic Phosphorus,precip_flux,kg/ha/d,228,4,2011-06-20T00:00:00Z,2011-08-15T00:00:00Z
DOP,Dissolved Organic Phosphorus,stream_conc,mg/L,120958,31,1993-09-20T00:00:00Z,2020-11-05T00:00:00Z
DOP,Dissolved Organic Phosphorus,stream_flux,kg/ha/d,47075,9,1995-10-05T00:00:00Z,2020-11-05T00:00:00Z
Dy,Dysprosium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Dy,Dysprosium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Dy,Dysprosium,stream_conc,mg/L,73608,22,2005-09-26T00:00:00Z,2020-12-02T00:00:00Z
Dy,Dysprosium,stream_flux,kg/ha/d,48809,21,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
E_pheophy,Epilithic Phaeophytin,NA,mg/cm2,79007,27,2004-06-18T00:00:00Z,2018-08-31T00:00:00Z
ECHL_A,Epilithic Chlorophyll a,NA,mg/cm2,80339,27,2004-06-18T00:00:00Z,2018-08-31T00:00:00Z
Ecoli,Escherichia coli,NA,#/mL,41206,13,2001-10-02T00:00:00Z,2016-06-15T00:00:00Z
Er,Erbium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Er,Erbium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Er,Erbium,stream_conc,mg/L,73608,22,2005-09-26T00:00:00Z,2020-12-02T00:00:00Z
Er,Erbium,stream_flux,kg/ha/d,48809,21,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Eu,Europium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Eu,Europium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Eu,Europium,stream_conc,mg/L,136059,40,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Eu,Europium,stream_flux,kg/ha/d,50229,21,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
F,Fluorine,precip_conc,mg/L,68941,35,1998-04-26T00:00:00Z,2021-05-10T00:00:00Z
F,Fluorine,precip_flux,kg/ha/d,68941,35,1998-04-26T00:00:00Z,2021-05-10T00:00:00Z
F,Fluorine,stream_conc,mg/L,545506,142,1992-10-22T00:00:00Z,2021-05-25T00:00:00Z
F,Fluorine,stream_flux,kg/ha/d,273429,82,1994-12-09T00:00:00Z,2021-05-25T00:00:00Z
Fe,Iron,precip_conc,mg/L,74384,39,2011-03-28T00:00:00Z,2021-05-10T00:00:00Z
Fe,Iron,precip_flux,kg/ha/d,74384,39,2011-03-28T00:00:00Z,2021-05-10T00:00:00Z
Fe,Iron,stream_conc,mg/L,319381,120,1989-01-03T00:00:00Z,2021-05-26T00:00:00Z
Fe,Iron,stream_flux,kg/ha/d,161895,70,1989-01-03T00:00:00Z,2021-05-26T00:00:00Z
Ga,Gallium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ga,Gallium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ga,Gallium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ga,Gallium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd,Gadolinium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Gd,Gadolinium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Gd,Gadolinium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd,Gadolinium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd157,Gadolinium-157,precip_conc,mg/L,39598,13,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Gd157,Gadolinium-157,precip_flux,kg/ha/d,39598,13,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Gd157,Gadolinium-157,stream_conc,mg/L,49737,12,2005-09-26T00:00:00Z,2019-08-12T00:00:00Z
Gd157,Gadolinium-157,stream_flux,kg/ha/d,28667,12,2009-02-02T00:00:00Z,2019-08-12T00:00:00Z
Ge,Germanium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ge,Germanium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ge,Germanium,stream_conc,mg/L,53715,32,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ge,Germanium,stream_flux,kg/ha/d,24019,14,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
H,Hydrogen,precip_conc,mg/L,2108,4,2012-05-24T00:00:00Z,2013-11-01T00:00:00Z
H,Hydrogen,precip_flux,kg/ha/d,2108,4,2012-05-24T00:00:00Z,2013-11-01T00:00:00Z
H,Hydrogen,stream_conc,mg/L,160956,27,1982-02-11T00:00:00Z,2020-11-05T00:00:00Z
H,Hydrogen,stream_flux,kg/ha/d,85169,12,1982-05-27T00:00:00Z,2020-11-05T00:00:00Z
HCO3,Bicarbonate,stream_conc,mg/L,105177,37,1976-11-04T00:00:00Z,2021-11-03T00:00:00Z
HCO3,Bicarbonate,stream_flux,kg/ha/d,89894,36,1976-11-04T00:00:00Z,2021-11-03T00:00:00Z
Hf,Hafnium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Hf,Hafnium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Hf,Hafnium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Hf,Hafnium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Hg,Mercury,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Hg,Mercury,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Hg,Mercury,stream_conc,mg/L,23878,17,2005-09-26T00:00:00Z,2020-12-02T00:00:00Z
Hg,Mercury,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ho,Holmium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Ho,Holmium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Ho,Holmium,stream_conc,mg/L,73608,22,2005-09-26T00:00:00Z,2020-12-02T00:00:00Z
Ho,Holmium,stream_flux,kg/ha/d,48809,21,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
I,Iodine,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
I,Iodine,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
I,Iodine,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
I,Iodine,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
ionBalance,Ion Balance,precip_conc,ueq/L,168768,9,1970-01-07T00:00:00Z,2021-05-10T00:00:00Z
ionBalance,Ion Balance,stream_conc,ueq/L,148091,23,1973-06-30T00:00:00Z,2021-05-24T00:00:00Z
ionError,Ion Error,NA,%,215393,11,1970-01-07T00:00:00Z,2021-05-24T00:00:00Z
Ir,Iridium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ir,Iridium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ir,Iridium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ir,Iridium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
K,Potassium,precip_conc,mg/L,590385,82,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
K,Potassium,precip_flux,kg/ha/d,576019,84,1968-10-21T00:00:00Z,2022-01-05T00:00:00Z
K,Potassium,stream_conc,mg/L,1555699,264,1963-06-01T00:00:00Z,2021-05-26T00:00:00Z
K,Potassium,stream_flux,kg/ha/d,989700,149,1963-06-01T00:00:00Z,2021-05-26T00:00:00Z
La,Lanthanum,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
La,Lanthanum,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
La,Lanthanum,stream_conc,mg/L,118568,25,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
La,Lanthanum,stream_flux,kg/ha/d,50662,21,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Li,Lithium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Li,Lithium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Li,Lithium,stream_conc,mg/L,391816,70,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Li,Lithium,stream_flux,kg/ha/d,165236,28,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Lu,Lutetium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Lu,Lutetium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Lu,Lutetium,stream_conc,mg/L,73608,22,2005-09-26T00:00:00Z,2020-12-02T00:00:00Z
Lu,Lutetium,stream_flux,kg/ha/d,48809,21,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
MF_N,Moss: Fontinalis: Nitrogen,NA,%,4472,3,1998-06-12T00:00:00Z,2009-07-22T00:00:00Z
MF_P,Moss: Fontinalis: Phosphorus,NA,%,792,2,1998-06-12T00:00:00Z,1999-07-25T00:00:00Z
Mg,Magnesium,precip_conc,mg/L,590385,82,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
Mg,Magnesium,precip_flux,kg/ha/d,576019,84,1968-10-21T00:00:00Z,2022-01-05T00:00:00Z
Mg,Magnesium,stream_conc,mg/L,1557601,264,1963-06-01T00:00:00Z,2021-05-26T00:00:00Z
Mg,Magnesium,stream_flux,kg/ha/d,989707,149,1963-06-01T00:00:00Z,2021-05-26T00:00:00Z
MH_Al,Moss: Hygrohypnum: Aluminum,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_B,Moss: Hygrohypnum: Boron,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_C,Moss: Hygrohypnum: Carbon,NA,%,30631,7,1996-08-12T00:00:00Z,2015-07-21T00:00:00Z
MH_Ca,Moss: Hygrohypnum: Calcium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Cu,Moss: Hygrohypnum: Copper,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Fe,Moss: Hygrohypnum: Iron,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_K,Moss: Hygrohypnum: Potassium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Mg,Moss: Hygrohypnum: Magnesium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Mn,Moss: Hygrohypnum: Manganese,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_N,Moss: Hygrohypnum: Nitrogen,NA,%,38171,8,1995-06-22T00:00:00Z,2015-07-21T00:00:00Z
MH_Na,Moss: Hygrohypnum: Sodium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_P,Moss: Hygrohypnum: Phosphorus,NA,%,38171,8,1995-06-22T00:00:00Z,2015-07-21T00:00:00Z
MH_S,Moss: Hygrohypnum: Sulfur,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
Mn,Manganese,precip_conc,mg/L,74384,39,2011-03-28T00:00:00Z,2021-05-10T00:00:00Z
Mn,Manganese,precip_flux,kg/ha/d,74384,39,2011-03-28T00:00:00Z,2021-05-10T00:00:00Z
Mn,Manganese,stream_conc,mg/L,318378,120,1989-01-03T00:00:00Z,2021-05-26T00:00:00Z
Mn,Manganese,stream_flux,kg/ha/d,162195,70,1989-01-03T00:00:00Z,2021-05-26T00:00:00Z
Mo,Molybdenum,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Mo,Molybdenum,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Mo,Molybdenum,stream_conc,mg/L,151922,39,1992-01-06T00:00:00Z,2020-12-02T00:00:00Z
Mo,Molybdenum,stream_flux,kg/ha/d,62642,21,1992-01-06T00:00:00Z,2020-12-02T00:00:00Z
MS_Al,Moss: Schistidium: Aluminum,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_B,Moss: Schistidium: Boron,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_C,Moss: Schistidium: Carbon,NA,%,27385,10,1996-08-13T00:00:00Z,2015-07-21T00:00:00Z
MS_Ca,Moss: Schistidium: Calcium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Cu,Moss: Schistidium: Copper,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Fe,Moss: Schistidium: Iron,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_K,Moss: Schistidium: Potassium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Mg,Moss: Schistidium: Magnesium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Mn,Moss: Schistidium: Manganese,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_N,Moss: Schistidium: Nitrogen,NA,%,47299,13,1995-07-06T00:00:00Z,2015-07-21T00:00:00Z
MS_Na,Moss: Schistidium: Sodium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_P,Moss: Schistidium: Phosphorus,NA,%,47299,13,1995-07-06T00:00:00Z,2015-07-21T00:00:00Z
MS_S,Moss: Schistidium: Sulfur,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Zn,Moss: Schistidium: Zinc,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
Na,Sodium,precip_conc,mg/L,590385,82,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
Na,Sodium,precip_flux,kg/ha/d,576019,84,1968-10-21T00:00:00Z,2022-01-05T00:00:00Z
Na,Sodium,stream_conc,mg/L,1557567,264,1963-06-01T00:00:00Z,2021-05-26T00:00:00Z
Na,Sodium,stream_flux,kg/ha/d,989707,149,1963-06-01T00:00:00Z,2021-05-26T00:00:00Z
Nb,Niobium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Nb,Niobium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Nb,Niobium,stream_conc,mg/L,30829,14,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
